English,Chinese
Access Number,访问号码
Access Numbers,访问号码
Account,帐户
Account Type,帐户类型
Account Valid Days,帐户有效天数
Account Verification By,帐户验证
Accounts,帐号
Accounts Report,账目报告
ACD,ACD
Action,行动
Action Type,行动类型
Add,加
Add Country,添加国家
Add Currency,添加货币
Add Destination,添加目的地
Add Ratedeck,添加Ratedeck
Address1,地址1
Administrator,管理员
Administrator Admin,管理员管理员
Admins,管理员
After Balance,平衡之后
Alarm,报警
Alert Status,警报状态
Allow integration with Fraud detection,允许与欺诈检测集成
Allow IP Management,允许IP管理
Allow Local Call,允许本地通话
Allow Local Calls,允许本地通话
Allow Loss Less Routing,允许减少丢失路由
Allow Max Retries,允许最大重试次数
Allow Recording,允许录制
Amount,量
Amount INR,金额INR
Answered Calls,已回答的电话
Applicable For,适用于
Apply on existing accounts,适用于现有帐户
Archive,档案
ASR,ASR
Attachement,Attachement
Attempted Calls,试图打电话
Audit,审计
Audit Log,审核日志
Audit Logs Older Than Days,审核日志早于天
Authorize.net,Authorize.net
Automatically,自动
Balance,平衡
Balance Announcement,余额公告
Balance Below,以下平衡
Base Currency,基础货币
Basic,基本
Basic Information,基本信息
Batch Update,批量更新
Before Balance INR,在平衡之前INR
Begins With,开始于
Beta,Beta版
Billable,计费
Billing,开票
Billing Cycle,结算周期
Billing Days,结算日
Billing Information,账单信息
Billing Type,账单类型
Body,身体
Buy Cost,购买成本
Call Barring,呼叫限制
Call Date,通话日期
Call Detail Reports,致电详情报告
Call Max Length,呼叫最大长度
Call State,呼叫状态
Call Summary Reports,致电摘要报告
Call Timeout,呼叫超时
Call Type,通话类型
Call Types,通话类型
Called Number,叫号码
Caller ID,来电显示
Caller IDs,来电显示
Caller IP,来电IP
Caller Name,来电者姓名
Caller Number,来电号码
Caller-Id-In-Form,呼叫者ID-状态正佳
Calling Card,电话卡
Calls,呼叫
Calls Breakdown,呼叫故障
Calltype Information,Calltype信息
Can be purchased?,可以买？
Capital,首都
Capture Server,捕获服务器
Card Input Timeout,卡输入超时
Card Length,卡长
Card Retries,卡重试
Carriers,运营商
Category,类别
CC,CC
CDRs Older Than Days,CDR比天还多
Charge Type,收费类型
Charges Breakdown,收费细分
Charges History,收费历史
CID,CID
City,市
Clear,明确
Client IP,客户端IP
Client User Agent,客户端用户代理
Code,码
Codecs,编解码器
Commission,佣金
Commission Rate,佣金率
Commission Reports,委员会报告
Company,公司
Company Profiles,公司简介
Company Tax number,公司税号
Completed Calls,完成通话
Concurrent Calls,并发呼叫
Configuration ,组态
Confirmed,确认
Connection Cost,连接成本
Contains,包含
Cost,成本
Cost/Min,成本/分
Countries,国家
Country,国家
Country Code,国家代码
Country List,国家清单
Country Reports,国家报告
Coupon Information,优惠券信息
Coupon Number,优惠券号码
CPS,CPS
Create,创建
Create Admin,创建管理员
Create calltype,创建calltype
Create Company Profile ,创建公司简介
Create Customer,创造客户
Create Origination Rate,创建起始率
Create Product ,创建产品
Create Provider,创建提供者
Create Rate Group,创建费率组
Create Refill Coupon,创建补充优惠券
Create SIP Device,创建SIP设备
Create Tax,创建税
Created Date,创建日期
Creation Date,创立日期
Credit,信用
Credit Limit,信用额度
Crons,Crons
Currency,货币
Currency Conversion Loss Percentage,货币转换损失百分比
Currency List,货币清单
Customer,顾客
Customer CDRs Report ,客户CDR报告
Customer Summary,客户摘要
Customer Summary Report ,客户总结报告
Customers,顾客
Dashboard,仪表板
Database,数据库
Date,日期
Debit,借方
Debug,调试
Decimal Points,小数点
Default Increment ,默认增量
Default Invoice Mode,默认发票模式
Default Tax,默认税
Delete,删除
Deleted Accounts After Days,天后删除帐户
Description,描述
Destination,目的地
Dial Input Timeout,拨号输入超时
DID,DID
DIDs,的DID
Direction,方向
Disable,禁用
Display records in,显示记录
Disposition,性格
Documentation,文档
Doesnt Contain,不包含
Domain,域
Draft,草案
Due Date,截止日期
Duplicate,重复
Duration,持续时间
Email,电子邮件
Email Alerts ?,电子邮件提醒？
Email History,电邮历史
Email History List ,电邮历史列表
Email Notification,电子邮件通知
Email Notifications,邮件通知
Email Status,电邮状态
Email Template,电邮模板
Emails Older Than Days,电子邮件比天还旧
En,恩
Enable,启用
Enable Signup,启用注册
Ends With,以。。结束
Enterprise,企业
Entity Type,实体类型
Environment,环境
Ewallet Payment Gateway,Ewallet支付网关
Expired Accounts After Days,过期后的账户过期
Expiry Date,到期日
Export,出口
Failover  GW Name #1,故障转移GW名称＃1
Failover GW Name #2,故障转移GW名称＃2
Favicon,网站图标
Fax,传真
Fee,费用
File Path,文件路径
Filter,过滤
First Name,名字
First Used,首次使用
Fixer Key,固定键
FMAddon,FMAddon
Footer,页脚
Fraud Detection,欺诈识别
Free Minutes,免费分钟
FreeSwitch Servers,FreeSwitch服务器
From,从
From Date,从日期
From Timestamp,来自时间戳
Gateway Name,网关名称
Gateways,网关
General,一般
General Input Timeout,一般输入超时
Generate Invoice,生成发票
Generate Pin,生成Pin
Generates Alarm From System,从系统生成警报
Generates Local Number system,生成本地号码系统
Generates ticket of issues from system,从系统生成问题单
Generates Various Alarms From System,从系统生成各种警报
Generates Various Country Reports From System,从系统生成各种国家报告
Generates various reports from system,从系统生成各种报告
Get Addons,获取插件
Get App,获取应用程序
Global,全球
Grace Time,格雷斯时间
Grand Total,累计
Group By,通过...分组
Group By #1,分组＃1
Group By #2,分组＃2
Group By #3,分组＃3
Group By #Time,按#Time分组
Header,头
Homer,荷马
Host,主办
Import,进口
Import Customers,导入客户
Import with field map,使用字段映射导入
Inbound,入站
Inbound Fax,入站传真
Included Seconds,包括秒
Increment,增量
Initial Balance,初始余额
Initial Increment,初始增量
